relative_path,bytes,sha256
prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/agent_states1.json,103222,677604175e448d8ec2738f27607dc9d92a5687236cbd0c6357d82a9ee27cc35d
prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/agent_states2.json,100312,f45f65044ef46a782ea5966ea0c3c528e6c2bb2bc91980032740804bf96d379c
prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/experiment_config.json,128,905d9abae42d8f40dcfd682cf517a5769b84b932e1e028e1b2f20b90c504efcc
prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/game_log1.json,102091,3ace09ea2a768e5898a6c087ff4ed7fc7ee05e9f18efaf859d3c1a720725f746
prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/game_log2.json,104754,773dcd87934b490392ba393336dbbf41692921e885c5e80ca72887d2bf5bb4e2
prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/game_log3.json,108836,04df15a5baa3fd878b7cbc71a8297e2f0f7aafa658a4d6534fb1fb9534608feb
prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/game_stats1.json,318,7f54f2f2334d197fdd235f1dc439ca513c92f1c02e0fe110a6b2584028ad9845
prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/game_stats2.json,318,7f54f2f2334d197fdd235f1dc439ca513c92f1c02e0fe110a6b2584028ad9845
prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/agent_states1.json,102314,f452aca83d163f01e10ffbb55ba40613aa693cd7ae387ce2e270ffbe46e87d6a
prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/agent_states2.json,99428,95c822a6fb1dfec2b964a311e554dc3c1bdeb5abf670ae4d50114be35943922d
prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/experiment_config.json,128,905d9abae42d8f40dcfd682cf517a5769b84b932e1e028e1b2f20b90c504efcc
prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/game_log1.json,96483,7f87aef0eeb7f817b46da0e2b67b3fe2da7f19fb9242330cd2328d7a31cfc1e7
prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/game_log2.json,96132,500361b2fa01a77d54b8024d0e8e4d3496d39f0770d8d1cd68d3be24a26e6b21
prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/game_log3.json,96456,297c06ebbf8d84e7e10614f59112a9866d3ef8e14ff7880ece10a8299f66ae9b
prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/game_stats1.json,348,399a11adb2c003fa45c8aa5d1693ea6304d215d1148238b0127f5cf6786cbc67
prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/game_stats2.json,350,56c552f15d190dafca87a28b8ad6d0279516e90f00cf724e8729ae61928a4ce2
prisoners_dilemma_punishment/080403_gpt-5.4-three/data/agent_states1.json,102262,10bc60567723689f1e3976e5bfc569573c24ca492afbf76d4e05b6ce5813f2d5
prisoners_dilemma_punishment/080403_gpt-5.4-three/data/agent_states2.json,98772,e2b74487428f168884f3a08f23c0693f8cfab3f0ea650c325453bf2c9edc8713
prisoners_dilemma_punishment/080403_gpt-5.4-three/data/experiment_config.json,128,905d9abae42d8f40dcfd682cf517a5769b84b932e1e028e1b2f20b90c504efcc
prisoners_dilemma_punishment/080403_gpt-5.4-three/data/game_log1.json,115022,b2ffb5e11569fbea00f2675a28778ddf45d20f809c2a4a099119205f1adcd89a
prisoners_dilemma_punishment/080403_gpt-5.4-three/data/game_log2.json,115397,a7379273fa9ed58d855b7459ae7c6a5bf39ffee3ccfe3178ffb0469450c600a4
prisoners_dilemma_punishment/080403_gpt-5.4-three/data/game_log3.json,115645,c2dcbe7029fd5473a093c0eace3586ab241ec5fa8fc023f704aebf0eda246a70
prisoners_dilemma_punishment/080403_gpt-5.4-three/data/game_stats1.json,316,d9577e784b5ca0043601b21068d690775bd2391752b902b1a95eeba89adf173e
prisoners_dilemma_punishment/080403_gpt-5.4-three/data/game_stats2.json,316,d9577e784b5ca0043601b21068d690775bd2391752b902b1a95eeba89adf173e
prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/agent_states1.json,102292,8d5ed89b9419ca9a73abe5fd07d205ffa06ccaaab8a054078f688dc1747bb649
prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/agent_states2.json,99364,7b77a29e590ebfb399154b078aa8316349043fe8ea4133d35e1f53d243a05d61
prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/experiment_config.json,128,905d9abae42d8f40dcfd682cf517a5769b84b932e1e028e1b2f20b90c504efcc
prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/game_log1.json,155409,7caa479f172ff9841bd5b0c00440b2bc4e339ea9496ab3caec06fbe7ce2f644d
prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/game_log2.json,156289,837eea355b314bf4045a2de6434444e1f911bf2682f6619d23632cf8be081325
prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/game_log3.json,151269,d314a0bee2ed803fc6ce17a03fcccbde58e99bea1192cb70378d23c982540825
prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/game_stats1.json,353,5a9186256e5fcd16ffb910ccad0fc1340aa9d071cd6b1b3ffdf32ab528d36182
prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/game_stats2.json,322,457599b2334707bb9514ce04734a0085de50898e2f3e7dda79605300306225b2
prisoners_dilemma_punishment/080405_grok-4.3-three/data/agent_states1.json,102688,3f2a4c9435d5afb0702f0982d19507e1a5010c5fe952b07655091a9bddad57bc
prisoners_dilemma_punishment/080405_grok-4.3-three/data/agent_states2.json,99686,2f49ec074d8661f7e3b711cd110f81eea80ae5ca9bd3d8ccb16694f1a576b6e9
prisoners_dilemma_punishment/080405_grok-4.3-three/data/experiment_config.json,128,905d9abae42d8f40dcfd682cf517a5769b84b932e1e028e1b2f20b90c504efcc
prisoners_dilemma_punishment/080405_grok-4.3-three/data/game_log1.json,103001,f3a7c7e9b4758ba15e19ad4170203df59a76942f79074f948ec6b69e849cef65
prisoners_dilemma_punishment/080405_grok-4.3-three/data/game_log2.json,102405,67ebecfce0b32b2eea6c36e7adeadb6f72f1f6dd56c65267dca3285b844b762c
prisoners_dilemma_punishment/080405_grok-4.3-three/data/game_log3.json,102455,52d430cba4af299b45e2aaddb35fcbd1b946f143d8c1ce0ec019a5a9ac84c8cf
